func,func_intent_summary,security_intent_summary
"async def json_or_text(response):
    """"""Turns response into a properly formatted json or text object""""""
    text = await response.text()
    if response.headers['Content-Type'] == 'application/json; charset=utf-8':
        return json.loads(text)
    return text",Turns response into a properly formatted json or text object,
"async def limited(until):
    """"""Handles the message shown when we are ratelimited""""""
    duration = int(round(until - time.time()))
    mins = duration / 60
    fmt = 'We have exhausted a ratelimit quota. Retrying in %.2f seconds (%.3f minutes).'
    log.warn(fmt, duration, mins)",Handles the message shown when we are ratelimited,
"async def get_bot_info(self, bot_id):
        '''Gets the information of the given Bot ID'''
        resp = await self.request('GET', '{}/bots/{}'.format(self.BASE, bot_id))
        resp['date'] = datetime.strptime(resp['date'], '%Y-%m-%dT%H:%M:%S.%fZ')
        for k in resp:
            if resp[k] == '':
                resp[k] = None
        return resp",Gets the information of the given Bot ID,
"async def get_bots(self, limit, offset):
        '''Gets an object of bots on DBL'''
        if limit > 500:
            limit = 50
        return await self.request('GET', '{}/bots?limit={}&offset={}'.format(self.BASE, limit, offset))",Gets an object of bots on DBL,
"def guild_count(self):
        """"""Gets the guild count from the Client/Bot object""""""
        try:
            return len(self.bot.guilds)
        except AttributeError:
            return len(self.bot.servers)",Gets the guild count from the Client/Bot object,
"async def close(self):
        """"""This function is a coroutine.

        Closes all connections.""""""
        if self._is_closed:
            return
        else:
            await self.http.close()
            self._is_closed = True","This function is a coroutine.

        Closes all connections.",
"def close(self):
        """"""Close port.""""""
        os.close(self.in_d)
        os.close(self.out_d)",Close port.,
"def stop(self):
        'cleans up and stops the discovery server'

        self.clearRemoteServices()
        self.clearLocalServices()

        self._stopThreads()
        self._serverStarted = False",cleans up and stops the discovery server,
"def clearLocalServices(self):
        'send Bye messages for the services and remove them'

        for service in list(self._localServices.values()):
            self._sendBye(service)

        self._localServices.clear()",send Bye messages for the services and remove them,
"def searchServices(self, types=None, scopes=None, timeout=3):
        'search for services given the TYPES and SCOPES in a given TIMEOUT'

        if not self._serverStarted:
            raise Exception(""Server not started"")

        self._sendProbe(types, scopes)

        time.sleep(timeout)

        return self._filterServices(list(self._remoteServices.values()), types, scopes)",search for services given the TYPES and SCOPES in a given TIMEOUT,
"def discover(scope, loglevel, capture):
    ""Discover systems using WS-Discovery""

    if loglevel:
        level = getattr(logging, loglevel, None)
        if not level:
           print(""Invalid log level '%s'"" % loglevel)
           return
        logger.setLevel(level)

    run(scope=scope, capture=capture)",Discover systems using WS-Discovery,
"def get_all_child_relations(model):
    """"""
    Return a list of RelatedObject records for child relations of the given model,
    including ones attached to ancestors of the model
    """"""
    return [
        field for field in model._meta.get_fields()
        if isinstance(field.remote_field, ParentalKey)
    ]","Return a list of RelatedObject records for child relations of the given model,
    including ones attached to ancestors of the model",
"def get_all_child_m2m_relations(model):
    """"""
    Return a list of ParentalManyToManyFields on the given model,
    including ones attached to ancestors of the model
    """"""
    return [
        field for field in model._meta.get_fields()
        if isinstance(field, ParentalManyToManyField)
    ]","Return a list of ParentalManyToManyFields on the given model,
    including ones attached to ancestors of the model",
"def get_key_for(self, address):
        """"""
        Generates the key associated with the specified address.

        Note that this method will generate the wrong key if the input
        address was generated from a different key!
        """"""
        return self.get_key(
            index=address.key_index,
            iterations=address.security_level,
        )","Generates the key associated with the specified address.

        Note that this method will generate the wrong key if the input
        address was generated from a different key!",
"def _add_trits(left, right):
    # type: (int, int) -> int
    """"""
    Adds two individual trits together.

    The result is always a single trit.
    """"""
    res = left + right
    return res if -2 < res < 2 else (res < 0) - (res > 0)","Adds two individual trits together.

    The result is always a single trit.",
"def _full_add_trits(left, right, carry):
    # type: (int, int, int) -> Tuple[int, int]
    """"""
    Adds two trits together, with support for a carry trit.
    """"""
    sum_both = _add_trits(left, right)
    cons_left = _cons_trits(left, right)
    cons_right = _cons_trits(sum_both, carry)

    return _add_trits(sum_both, carry), _any_trits(cons_left, cons_right)","Adds two trits together, with support for a carry trit.",
"def _log(self, level, message, context=None):
        # type: (int, Text, Optional[dict]) -> None
        """"""
        Sends a message to the instance's logger, if configured.
        """"""
        if self._logger:
            self._logger.log(level, message, extra={'context': context or {}})","Sends a message to the instance's logger, if configured.",
"def is_confirmed(self, new_is_confirmed):
        # type: (bool) -> None
        """"""
        Sets the ``is_confirmed`` for the bundle.
        """"""
        self._is_confirmed = new_is_confirmed

        for txn in self:
            txn.is_confirmed = new_is_confirmed",Sets the ``is_confirmed`` for the bundle.,
"def _execute(self, request):
    # type: (dict) -> dict
    """"""
    Sends the request object to the adapter and returns the response.

    The command name will be automatically injected into the request
    before it is sent (note: this will modify the request object).
    """"""
    request['command'] = self.command
    return self.adapter.send_request(request)","Sends the request object to the adapter and returns the response.

    The command name will be automatically injected into the request
    before it is sent (note: this will modify the request object).",
"def errors(self):
        # type: () -> List[Text]
        """"""
        Returns all errors found with the bundle.
        """"""
        try:
            self._errors.extend(self._validator)  # type: List[Text]
        except StopIteration:
            pass

        return self._errors",Returns all errors found with the bundle.,
"def SecurityLevel():
    """"""
    Generates a filter chain for validating a security level.
    """"""
    return (
            f.Type(int) |
            f.Min(1) |
            f.Max(3) |
            f.Optional(default=AddressGenerator.DEFAULT_SECURITY_LEVEL)
    )",Generates a filter chain for validating a security level.,
"def increment_legacy_tag(self):
        """"""
        Increments the transaction's legacy tag, used to fix insecure
        bundle hashes when finalizing a bundle.

        References:

        - https://github.com/iotaledger/iota.lib.py/issues/84
        """"""
        self._legacy_tag = (
            Tag.from_trits(add_trits(self.legacy_tag.as_trits(), [1]))
        )","Increments the transaction's legacy tag, used to fix insecure
        bundle hashes when finalizing a bundle.

        References:

        - https://github.com/iotaledger/iota.lib.py/issues/84",
"def tag(self):
        # type: () -> Tag
        """"""
        Determines the most relevant tag for the bundle.
        """"""
        for txn in reversed(self):  # type: ProposedTransaction
            if txn.tag:
                return txn.tag

        return Tag(b'')",Determines the most relevant tag for the bundle.,
"def prime_field_inv(a: int, n: int) -> int:
    """"""
    Extended euclidean algorithm to find modular inverses for integers
    """"""
    if a == 0:
        return 0
    lm, hm = 1, 0
    low, high = a % n, n
    while low > 1:
        r = high // low
        nm, new = hm - lm * r, high - low * r
        lm, low, hm, high = nm, new, lm, low
    return lm % n",Extended euclidean algorithm to find modular inverses for integers,
"def from_json_file(cls, filename):
        """"""
        Load a lexicon from a JSON file.

        Args:
            filename (str): The path to a JSON dump.
        """"""
        with open(filename, 'r') as fp:
            return cls(json.load(fp))","Load a lexicon from a JSON file.

        Args:
            filename (str): The path to a JSON dump.",
"def categories(self):
        """"""
        Lists the categories in the lexicon, except the
        optional categories.

        Returns:
            list: A list of strings of category names.
        """"""
        keys = [k for k in self.__dict__.keys() if k not in SPECIAL]
        return keys","Lists the categories in the lexicon, except the
        optional categories.

        Returns:
            list: A list of strings of category names.",
"def random(cls, component):
        """"""
        Returns a minimal Decor with a random colour.
        """"""
        colour = random.sample([i for i in range(256)], 3)
        return cls({'colour': colour, 'component': component, 'width': 1.0})",Returns a minimal Decor with a random colour.,
"def max_width(self):
        """"""
        The maximum width of all the Decors in the Legend. This is needed
        to scale a Legend or Striplog when plotting with widths turned on.
        """"""
        try:
            maximum = max([row.width for row in self.__list if row.width is not None])
            return maximum
        except:
            return 0","The maximum width of all the Decors in the Legend. This is needed
        to scale a Legend or Striplog when plotting with widths turned on.",
"def plot(self, fmt=None):
        """"""
        Make a simple plot of the legend.

        Simply calls Decor.plot() on all of its members.

        TODO: Build a more attractive plot.
        """"""
        for d in self.__list:
            d.plot(fmt=fmt)

        return None","Make a simple plot of the legend.

        Simply calls Decor.plot() on all of its members.

        TODO: Build a more attractive plot.",
"def _repr_html_(self):
        """"""
        Jupyter Notebook magic repr function.
        """"""
        rows = ''
        s = '<tr><td><strong>{k}</strong></td><td>{v}</td></tr>'
        for k, v in self.__dict__.items():
            rows += s.format(k=k, v=v)
        html = '<table>{}</table>'.format(rows)
        return html",Jupyter Notebook magic repr function.,
"def Rock(*args, **kwargs):
    """"""
    Graceful deprecation for old class name.
    """"""

    with warnings.catch_warnings():
        warnings.simplefilter(""always"")
        w = ""The 'Rock' class was renamed 'Component'. ""
        w += ""Please update your code.""
        warnings.warn(w, DeprecationWarning, stacklevel=2)

    return Component(*args, **kwargs)",Graceful deprecation for old class name.,
"def get_template(name):
    """"""
    Still unsure about best way to do this, hence cruft.
    """"""
    text = re.sub(r'\r\n', r'\n', name)
    text = re.sub(r'\{([FISDE°].*?)\}', r'{{\1}}', text)
    return text","Still unsure about best way to do this, hence cruft.",
"def __strict(self):
        """"""
        Private method. Checks if striplog is monotonically increasing in
        depth.

        Returns:
            Bool.
        """"""
        def conc(a, b):
            return a + b

        # Check boundaries, b
        b = np.array(reduce(conc, [[i.top.z, i.base.z] for i in self]))

        return all(np.diff(b) >= 0)","Private method. Checks if striplog is monotonically increasing in
        depth.

        Returns:
            Bool.",
"def top(self):
        """"""
        Property.
        """"""
        # For backwards compatibility.
        with warnings.catch_warnings():
            warnings.simplefilter(""always"")
            w = ""Striplog.top is deprecated; please use Striplog.unique""
            warnings.warn(w, DeprecationWarning, stacklevel=2)
        return self.unique",Property.,
"def from_img(cls, *args, **kwargs):
        """"""
        For backwards compatibility.
        """"""
        with warnings.catch_warnings():
            warnings.simplefilter(""always"")
            w = ""from_img() is deprecated; please use from_image()""
            warnings.warn(w)
        return cls.from_image(*args, **kwargs)",For backwards compatibility.,
"def copy(self):
        """"""Returns a shallow copy.""""""
        return Striplog([i.copy() for i in self],
                        order=self.order,
                        source=self.source)",Returns a shallow copy.,
"def depth(self, d):
        """"""
        For backwards compatibility.
        """"""
        with warnings.catch_warnings():
            warnings.simplefilter(""always"")
            w = ""depth() is deprecated; please use read_at()""
            warnings.warn(w)
        return self.read_at(d)",For backwards compatibility.,
"def find_overlaps(self, index=False):
        """"""
        Find overlaps in a striplog.

        Args:
            index (bool): If True, returns indices of intervals with
            gaps after them.

        Returns:
            Striplog: A striplog of all the overlaps as intervals.
        """"""
        return self.__find_incongruities(op=operator.gt, index=index)","Find overlaps in a striplog.

        Args:
            index (bool): If True, returns indices of intervals with
            gaps after them.

        Returns:
            Striplog: A striplog of all the overlaps as intervals.",
"def find_gaps(self, index=False):
        """"""
        Finds gaps in a striplog.

        Args:
            index (bool): If True, returns indices of intervals with
            gaps after them.

        Returns:
            Striplog: A striplog of all the gaps. A sort of anti-striplog.
        """"""
        return self.__find_incongruities(op=operator.lt, index=index)","Finds gaps in a striplog.

        Args:
            index (bool): If True, returns indices of intervals with
            gaps after them.

        Returns:
            Striplog: A striplog of all the gaps. A sort of anti-striplog.",
"def dict_repr_html(dictionary):
    """"""
    Jupyter Notebook magic repr function.
    """"""
    rows = ''
    s = '<tr><td><strong>{k}</strong></td><td>{v}</td></tr>'
    for k, v in dictionary.items():
        rows += s.format(k=k, v=v)
    html = '<table>{}</table>'.format(rows)
    return html",Jupyter Notebook magic repr function.,
"def hex_to_name(hexx):
    """"""
    Convert hex to a color name, using matplotlib's colour names.

    Args:
        hexx (str): A hexadecimal colour, starting with '#'.

    Returns:
        str: The name of the colour, or None if not found.
    """"""
    for n, h in defaults.COLOURS.items():
        if (len(n) > 1) and (h == hexx.upper()):
            return n.lower()
    return None","Convert hex to a color name, using matplotlib's colour names.

    Args:
        hexx (str): A hexadecimal colour, starting with '#'.

    Returns:
        str: The name of the colour, or None if not found.",
"def _get_random(self, obj_type):
        """"""
        Get a random mutator from a list of mutators
        """"""
        return self.mutator[obj_type][random.randint(0, self.config.level)]",Get a random mutator from a list of mutators,
"def get_mutator(self, obj, obj_type):
        """"""
        Get a random mutator for the given type
        """"""
        if obj_type == unicode:
            obj_type = str
            obj = str(obj)
        return self._get_random(obj_type)(obj)",Get a random mutator for the given type,
"def get_string_polyglot_attack(self, obj):
        """"""
        Return a polyglot attack containing the original object
        """"""
        return self.polyglot_attacks[random.choice(self.config.techniques)] % obj",Return a polyglot attack containing the original object,
"def fuzz(self, obj):
        """"""
        Perform the fuzzing
        """"""
        buf = list(obj)
        FuzzFactor = random.randrange(1, len(buf))
        numwrites=random.randrange(math.ceil((float(len(buf)) / FuzzFactor)))+1
        for j in range(numwrites):
            self.random_action(buf)
        return self.safe_unicode(buf)",Perform the fuzzing,
"def safe_unicode(self, buf):
        """"""
        Safely return an unicode encoded string
        """"""
        tmp = """"
        buf = """".join(b for b in buf)
        for character in buf:
            tmp += character
        return tmp",Safely return an unicode encoded string,
"def run(self):
        """"""
        Start the servers
        """"""
        route(""/"")(self.serve)
        if self.config.html:
            route(""/<filepath:path>"")(self.custom_html)
        if self.config.fuzz_web:
            self.request_checker.start()
        self.httpd.start()
        self.httpsd.start()",Start the servers,
"def stop(self):
        """"""
        Kill the servers
        """"""
        os.kill(self.httpd.pid, signal.SIGKILL)
        os.kill(self.httpsd.pid, signal.SIGKILL)
        self.client_queue.put((0,0))
        if self.config.fuzz_web:
            self.request_checker.join()
        self.logger.debug(""[{0}] - PJFServer successfully completed"".format(time.strftime(""%H:%M:%S"")))",Kill the servers,
"def apply_patch(self):
        """"""
        Fix default socket lib to handle client disconnection while receiving data (Broken pipe)
        """"""
        if sys.version_info >= (3, 0):
            # No patch for python >= 3.0
            pass
        else:
            from .patch.socket import socket as patch
            socket.socket = patch",Fix default socket lib to handle client disconnection while receiving data (Broken pipe),
"def fuzz(self, obj):
        """"""
        Generic fuzz mutator, use a decorator for the given type
        """"""
        decorators = self.decorators

        @decorators.mutate_object_decorate
        def mutate():
            return obj
        return mutate()","Generic fuzz mutator, use a decorator for the given type",
"def run_and_monitor(self):
        """"""
        Run command once and check exit code
        """"""
        signal.signal(signal.SIGINT, self.shutdown)
        self.spawn(self.config.process_to_monitor, timeout=0)
        return self._is_sigsegv(self.return_code)",Run command once and check exit code,
"def preprocess_rules(self):
        """"""Calculate shortest reference-paths of each rule (and Or field),
        and prune all unreachable rules.
        """"""
        to_prune = self._find_shortest_paths()
        self._prune_rules(to_prune)

        self._rules_processed = True","Calculate shortest reference-paths of each rule (and Or field),
        and prune all unreachable rules.",
"def post_revert(self, cat, res, total_num, num, info):
        """"""Commit any staged rule definition changes (rule generation went
        smoothly).
        """"""
        if self._staged_defs is None:
            return
        for cat,def_name,def_value in self._staged_defs:
            self.defs.setdefault(cat, {}).setdefault(def_name, deque()).append(def_value)
        self._staged_defs = None","Commit any staged rule definition changes (rule generation went
        smoothly).",
"def mutate_object_decorate(self, func):
        """"""
        Mutate a generic object based on type
        """"""
        def mutate():
            obj = func()
            return self.Mutators.get_mutator(obj, type(obj))
        return mutate",Mutate a generic object based on type,
"def cli_command_quit(self, msg):
        """"""\
        kills the child and exits
        """"""
        if self.state == State.RUNNING and self.sprocess and self.sprocess.proc:
            self.sprocess.proc.kill()
        else:
            sys.exit(0)","\
        kills the child and exits",
"def cli_command_resume(self, msg):
        """"""\
        sets state to waiting - so we resume spawning children
        """"""
        if self.state == State.PAUSED:
            self.state = State.WAITING","\
        sets state to waiting - so we resume spawning children",
"def setAvatar(self, image):
        """"""
        Update the profile picture for the current user.

        Args:
            image (file): a file-like object to read the image from
        """"""
        self.conn(""PUT"", ""{0}/users/{1}/profile/avatar"".format(SkypeConnection.API_USER, self.userId),
                  auth=SkypeConnection.Auth.SkypeToken, data=image.read())","Update the profile picture for the current user.

        Args:
            image (file): a file-like object to read the image from",
"def syncFlags(self):
        """"""
        Update the cached list of all enabled flags, and store it in the :attr:`flags` attribute.
        """"""
        self.flags = set(self.skype.conn(""GET"", SkypeConnection.API_FLAGS,
                                         auth=SkypeConnection.Auth.SkypeToken).json())","Update the cached list of all enabled flags, and store it in the :attr:`flags` attribute.",
"def merge(self, obj):
        """"""
        Add a given object to the cache, or update an existing entry to include more fields.

        Args:
            obj (SkypeObj): object to add to the cache
        """"""
        if obj.id in self.cache:
            self.cache[obj.id].merge(obj)
        else:
            self.cache[obj.id] = obj
        return self.cache[obj.id]","Add a given object to the cache, or update an existing entry to include more fields.

        Args:
            obj (SkypeObj): object to add to the cache",
"def getUserId(self):
        """"""
        Ask Skype for the authenticated user's identifier, and store it on the connection object.
        """"""
        self.userId = self(""GET"", ""{0}/users/self/profile"".format(self.API_USER),
                           auth=self.Auth.SkypeToken).json().get(""username"")","Ask Skype for the authenticated user's identifier, and store it on the connection object.",
"def ping(self, timeout=12):
        """"""
        Send a keep-alive request for the endpoint.

        Args:
            timeout (int): maximum amount of time for the endpoint to stay active
        """"""
        self.conn(""POST"", ""{0}/users/ME/endpoints/{1}/active"".format(self.conn.msgsHost, self.id),
                  auth=SkypeConnection.Auth.RegToken, json={""timeout"": timeout})","Send a keep-alive request for the endpoint.

        Args:
            timeout (int): maximum amount of time for the endpoint to stay active",
"def chatToId(url):
        """"""
        Extract the conversation ID from a conversation URL.

        Matches addresses containing ``conversations/<chat>``.

        Args:
            url (str): Skype API URL

        Returns:
            str: extracted identifier
        """"""
        match = re.search(r""conversations/([0-9]+:[^/]+)"", url)
        return match.group(1) if match else None","Extract the conversation ID from a conversation URL.

        Matches addresses containing ``conversations/<chat>``.

        Args:
            url (str): Skype API URL

        Returns:
            str: extracted identifier",
"def u(text, encoding='utf-8'):
    ""Return unicode text, no matter what""

    if isinstance(text, six.binary_type):
        text = text.decode(encoding)

    # it's already unicode
    text = text.replace('\r\n', '\n')
    return text","Return unicode text, no matter what",
"def to_dict(self):
        ""Post as a dict, for serializing""
        d = self.metadata.copy()
        d['content'] = self.content
        return d","Post as a dict, for serializing",
"def load(self, fm, **kwargs):
        """"""
        Parse YAML front matter. This uses yaml.SafeLoader by default. 
        """"""
        kwargs.setdefault('Loader', SafeLoader)
        return yaml.load(fm, **kwargs)",Parse YAML front matter. This uses yaml.SafeLoader by default.,
"def export(self, metadata, **kwargs):
        """"""
        Export metadata as YAML. This uses yaml.SafeDumper by default.
        """"""
        kwargs.setdefault('Dumper', SafeDumper)
        kwargs.setdefault('default_flow_style', False)
        kwargs.setdefault('allow_unicode', True)

        metadata = yaml.dump(metadata, **kwargs).strip()
        return u(metadata)",Export metadata as YAML. This uses yaml.SafeDumper by default.,
"def export(self, metadata, **kwargs):
        ""Turn metadata into JSON""
        kwargs.setdefault('indent', 4)
        metadata = json.dumps(metadata, **kwargs)
        return u(metadata)",Turn metadata into JSON,
"def items(self) -> List[str]:
        """"""Return items as a list of strings.

        Don't include sub-items and the start pattern.
        """"""
        items = []  # type: List[str]
        append = items.append
        string = self.string
        match = self._match
        ms = match.start()
        for s, e in match.spans('item'):
            append(string[s - ms:e - ms])
        return items","Return items as a list of strings.

        Don't include sub-items and the start pattern.",
"def convert(self, newstart: str) -> None:
        """"""Convert to another list type by replacing starting pattern.""""""
        match = self._match
        ms = match.start()
        for s, e in reversed(match.spans('pattern')):
            self[s - ms:e - ms] = newstart
        self.pattern = escape(newstart)",Convert to another list type by replacing starting pattern.,
"def lists(self, pattern: str = None) -> List[WikiList]:
        """"""Return the lists in all arguments.

        For performance reasons it is usually preferred to get a specific
        Argument and use the `lists` method of that argument instead.
        """"""
        return [
            lst for arg in self.arguments for lst in arg.lists(pattern) if lst]","Return the lists in all arguments.

        For performance reasons it is usually preferred to get a specific
        Argument and use the `lists` method of that argument instead.",
"def name(self) -> str:
        """"""Return template's name (includes whitespace).""""""
        h = self._atomic_partition(self._first_arg_sep)[0]
        if len(h) == len(self.string):
            return h[2:-2]
        return h[2:]",Return template's name (includes whitespace).,
"def string(self) -> str:
        """"""Return str(self).""""""
        start, end = self._span
        return self._lststr[0][start:end]",Return str(self).,
"def _atomic_partition(self, char: int) -> Tuple[str, str, str]:
        """"""Partition self.string where `char`'s not in atomic sub-spans.""""""
        s, e = self._span
        index = self._shadow.find(char)
        if index == -1:
            return self._lststr[0][s:e], '', ''
        lststr0 = self._lststr[0]
        return lststr0[s:s + index], chr(char), lststr0[s + index + 1:e]",Partition self.string where `char`'s not in atomic sub-spans.,
"def _subspans(self, type_: str) -> List[List[int]]:
        """"""Return all the sub-span including self._span.""""""
        return self._type_to_spans[type_]",Return all the sub-span including self._span.,
"def pprint(self, indent: str = '    ', remove_comments=False):
        """"""Deprecated, use self.pformat instead.""""""
        warn(
            'pprint method is deprecated, use pformat instead.',
            DeprecationWarning,
        )
        return self.pformat(indent, remove_comments)","Deprecated, use self.pformat instead.",
"def parameters(self) -> List['Parameter']:
        """"""Return a list of parameter objects.""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            Parameter(_lststr, _type_to_spans, span, 'Parameter')
            for span in self._subspans('Parameter')]",Return a list of parameter objects.,
"def parser_functions(self) -> List['ParserFunction']:
        """"""Return a list of parser function objects.""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            ParserFunction(_lststr, _type_to_spans, span, 'ParserFunction')
            for span in self._subspans('ParserFunction')]",Return a list of parser function objects.,
"def templates(self) -> List['Template']:
        """"""Return a list of templates as template objects.""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            Template(_lststr, _type_to_spans, span, 'Template')
            for span in self._subspans('Template')]",Return a list of templates as template objects.,
"def wikilinks(self) -> List['WikiLink']:
        """"""Return a list of wikilink objects.""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            WikiLink(_lststr, _type_to_spans, span, 'WikiLink')
            for span in self._subspans('WikiLink')]",Return a list of wikilink objects.,
"def comments(self) -> List['Comment']:
        """"""Return a list of comment objects.""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            Comment(_lststr, _type_to_spans, span, 'Comment')
            for span in self._subspans('Comment')]",Return a list of comment objects.,
"def mode(list_: List[T]) -> T:
    """"""Return the most common item in the list.

    Return the first one if there are more than one most common items.

    Example:

    >>> mode([1,1,2,2,])
    1
    >>> mode([1,2,2])
    2
    >>> mode([])
    ...
    ValueError: max() arg is an empty sequence
    """"""
    return max(set(list_), key=list_.count)","Return the most common item in the list.

    Return the first one if there are more than one most common items.

    Example:

    >>> mode([1,1,2,2,])
    1
    >>> mode([1,2,2])
    2
    >>> mode([])
    ...
    ValueError: max() arg is an empty sequence",
"def get_arg(self, name: str) -> Optional[Argument]:
        """"""Return the last argument with the given name.

        Return None if no argument with that name is found.
        """"""
        return get_arg(name, reversed(self.arguments))","Return the last argument with the given name.

        Return None if no argument with that name is found.",
"def del_arg(self, name: str) -> None:
        """"""Delete all arguments with the given then.""""""
        for arg in reversed(self.arguments):
            if arg.name.strip(WS) == name.strip(WS):
                del arg[:]",Delete all arguments with the given then.,
"def to_ogc_wkt(self):
        """"""
        Returns the CS as a OGC WKT formatted string.
        """"""
        return 'GEOGCS[""%s"", %s, %s, %s, AXIS[""Lon"", %s], AXIS[""Lat"", %s]]' % (self.name, self.datum.to_ogc_wkt(), self.prime_mer.to_ogc_wkt(), self.angunit.to_ogc_wkt(), self.twin_ax[0].ogc_wkt, self.twin_ax[1].ogc_wkt )",Returns the CS as a OGC WKT formatted string.,
"def to_esri_wkt(self):
        """"""
        Returns the CS as a ESRI WKT formatted string.
        """"""
        return 'GEOGCS[""%s"", %s, %s, %s, AXIS[""Lon"", %s], AXIS[""Lat"", %s]]' % (self.name, self.datum.to_esri_wkt(), self.prime_mer.to_esri_wkt(), self.angunit.to_esri_wkt(), self.twin_ax[0].esri_wkt, self.twin_ax[1].esri_wkt )",Returns the CS as a ESRI WKT formatted string.,
"def write_to(self, out):
        """""" Write the raw header content to the out stream

        Parameters:
        ----------
        out : {file object}
            The output stream
        """"""

        out.write(bytes(self.header))
        out.write(self.record_data)","Write the raw header content to the out stream

        Parameters:
        ----------
        out : {file object}
            The output stream",
"def copy_fields_from(self, other_record):
        """""" Tries to copy the values of the current dimensions from other_record
        """"""
        for dim_name in self.dimensions_names:
            try:
                self[dim_name] = other_record[dim_name]
            except ValueError:
                pass",Tries to copy the values of the current dimensions from other_record,
"def _append_zeros_if_too_small(self, value):
        """""" Appends zeros to the points stored if the value we are trying to
        fit is bigger
        """"""
        size_diff = len(value) - len(self.array)
        if size_diff:
            self.array = np.append(
                self.array, np.zeros(size_diff, dtype=self.array.dtype)
            )","Appends zeros to the points stored if the value we are trying to
        fit is bigger",
"def all_dimensions_names(self):
        """""" Returns all the dimensions names, including the names of sub_fields
        and their corresponding packed fields
        """"""
        return frozenset(self.array.dtype.names + tuple(self.sub_fields_dict.keys()))","Returns all the dimensions names, including the names of sub_fields
        and their corresponding packed fields",
"def x(self):
        """""" Returns the scaled x positions of the points as doubles
        """"""
        return scale_dimension(self.X, self.header.x_scale, self.header.x_offset)",Returns the scaled x positions of the points as doubles,
"def y(self):
        """""" Returns the scaled y positions of the points as doubles
        """"""
        return scale_dimension(self.Y, self.header.y_scale, self.header.y_offset)",Returns the scaled y positions of the points as doubles,
"def z(self):
        """""" Returns the scaled z positions of the points as doubles
        """"""
        return scale_dimension(self.Z, self.header.z_scale, self.header.z_offset)",Returns the scaled z positions of the points as doubles,
"def min_file_version_for_point_format(point_format_id):
    """"""  Returns the minimum file version that supports the given point_format_id
    """"""
    for version, point_formats in sorted(VERSION_TO_POINT_FMT.items()):
        if point_format_id in point_formats:
            return version
    else:
        raise errors.PointFormatNotSupported(point_format_id)",Returns the minimum file version that supports the given point_format_id,
"def is_point_fmt_compatible_with_version(point_format_id, file_version):
    """"""  Returns true if the file version support the point_format_id
    """"""
    try:
        return point_format_id in VERSION_TO_POINT_FMT[str(file_version)]
    except KeyError:
        raise errors.FileVersionNotSupported(file_version)",Returns true if the file version support the point_format_id,
"def files_have_same_point_format_id(las_files):
    """""" Returns true if all the files have the same points format id
    """"""
    point_format_found = {las.header.point_format_id for las in las_files}
    return len(point_format_found) == 1",Returns true if all the files have the same points format id,
"def files_have_same_dtype(las_files):
    """""" Returns true if all the files have the same numpy datatype
    """"""
    dtypes = {las.points.dtype for las in las_files}
    return len(dtypes) == 1",Returns true if all the files have the same numpy datatype,
"def _raise_if_wrong_file_signature(stream):
    """""" Reads the 4 first bytes of the stream to check that is LASF""""""
    file_sig = stream.read(len(headers.LAS_FILE_SIGNATURE))
    if file_sig != headers.LAS_FILE_SIGNATURE:
        raise errors.PylasError(
            ""File Signature ({}) is not {}"".format(file_sig, headers.LAS_FILE_SIGNATURE)
        )",Reads the 4 first bytes of the stream to check that is LASF,
"def read_header(self):
        """""" Reads the head of the las file and returns it
        """"""
        self.stream.seek(self.start_pos)
        return headers.HeaderFactory().read_from_stream(self.stream)",Reads the head of the las file and returns it,
"def read_vlrs(self):
        """""" Reads and return the vlrs of the file
        """"""
        self.stream.seek(self.start_pos + self.header.size)
        return VLRList.read_from(self.stream, num_to_read=self.header.number_of_vlr)",Reads and return the vlrs of the file,
"def read_evlrs(self):
        """""" Reads the EVLRs of the file, will fail if the file version
        does not support evlrs
        """"""
        self.stream.seek(self.start_pos + self.header.start_of_first_evlr)
        return evlrs.EVLRList.read_from(self.stream, self.header.number_of_evlr)","Reads the EVLRs of the file, will fail if the file version
        does not support evlrs",
"def _warn_if_not_at_expected_pos(self, expected_pos, end_of, start_of):
        """""" Helper function to warn about unknown bytes found in the file""""""
        diff = expected_pos - self.stream.tell()
        if diff != 0:
            logger.warning(
                ""There are {} bytes between {} and {}"".format(diff, end_of, start_of)
            )",Helper function to warn about unknown bytes found in the file,
"def write_then_read_again(las, do_compress=False):
    """""" writes the given las into memory using BytesIO and 
    reads it again, returning the newly read file.

    Mostly used for testing purposes, without having to write to disk
    """"""
    out = io.BytesIO()
    las.write(out, do_compress=do_compress)
    out.seek(0)
    return read_las(out)","writes the given las into memory using BytesIO and 
    reads it again, returning the newly read file.

    Mostly used for testing purposes, without having to write to disk",
